dataset,model,alpha,warmstart_points,warm_n,warm_mean_iters,warm_median_iters,warm_std_iters,rand_n,rand_mean_iters,rand_median_iters,rand_std_iters,delta_mean_warm_minus_rand,delta_median_warm_minus_rand
P3HT_dataset,BNN,1.0,51,1.0,28.0,28.0,0.0,1.0,23.0,23.0,0.0,5.0,5.0
P3HT_dataset,BNN,1.0,54,1.0,18.0,18.0,0.0,1.0,75.0,75.0,0.0,-57.0,-57.0
P3HT_dataset,BNN,1.0,55,1.0,32.0,32.0,0.0,1.0,42.0,42.0,0.0,-10.0,-10.0
P3HT_dataset,BNN,1.0,58,1.0,35.0,35.0,0.0,1.0,40.0,40.0,0.0,-5.0,-5.0
P3HT_dataset,BNN,1.0,60,1.0,31.0,31.0,0.0,1.0,52.0,52.0,0.0,-21.0,-21.0
P3HT_dataset,BNN,1.0,61,1.0,22.0,22.0,0.0,1.0,48.0,48.0,0.0,-26.0,-26.0
P3HT_dataset,BNN,1.0,62,1.0,24.0,24.0,0.0,1.0,78.0,78.0,0.0,-54.0,-54.0
P3HT_dataset,BNN,1.0,67,1.0,18.0,18.0,0.0,1.0,38.0,38.0,0.0,-20.0,-20.0
P3HT_dataset,BNN,1.0,68,1.0,18.0,18.0,0.0,1.0,69.0,69.0,0.0,-51.0,-51.0
P3HT_dataset,GPR,0.1,27,1.0,76.0,76.0,0.0,1.0,38.0,38.0,0.0,38.0,38.0
P3HT_dataset,GPR,0.1,30,1.0,63.0,63.0,0.0,1.0,55.0,55.0,0.0,8.0,8.0
P3HT_dataset,GPR,0.1,45,2.0,32.5,32.5,10.5,2.0,41.5,41.5,6.5,-9.0,-9.0
P3HT_dataset,GPR,0.1,47,1.0,40.0,40.0,0.0,1.0,17.0,17.0,0.0,23.0,23.0
P3HT_dataset,GPR,0.1,49,1.0,26.0,26.0,0.0,1.0,32.0,32.0,0.0,-6.0,-6.0
P3HT_dataset,GPR,0.1,50,1.0,43.0,43.0,0.0,1.0,50.0,50.0,0.0,-7.0,-7.0
P3HT_dataset,GPR,0.1,51,1.0,53.0,53.0,0.0,1.0,22.0,22.0,0.0,31.0,31.0
P3HT_dataset,GPR,0.1,54,1.0,3.0,3.0,0.0,1.0,31.0,31.0,0.0,-28.0,-28.0
P3HT_dataset,GPR,0.1,55,1.0,34.0,34.0,0.0,1.0,17.0,17.0,0.0,17.0,17.0
P3HT_dataset,GPR,0.1,58,1.0,26.0,26.0,0.0,1.0,39.0,39.0,0.0,-13.0,-13.0
P3HT_dataset,GPR,0.1,60,1.0,23.0,23.0,0.0,1.0,53.0,53.0,0.0,-30.0,-30.0
P3HT_dataset,GPR,0.1,61,1.0,18.0,18.0,0.0,1.0,52.0,52.0,0.0,-34.0,-34.0
P3HT_dataset,GPR,0.1,62,1.0,5.0,5.0,0.0,1.0,72.0,72.0,0.0,-67.0,-67.0
P3HT_dataset,GPR,0.1,67,1.0,13.0,13.0,0.0,1.0,38.0,38.0,0.0,-25.0,-25.0
P3HT_dataset,GPR,0.1,68,1.0,15.0,15.0,0.0,1.0,68.0,68.0,0.0,-53.0,-53.0
